"","Correlation","Protein"
"MDC1",0.5678076812191,"MDC1"
"SLC16A1",0.460535130291159,"SLC16A1"
"NOLC1",0.553892294060087,"NOLC1"
"RTF2",0.335696090579887,"RTF2"
"NDUFAF4",0.307423069265618,"NDUFAF4"
"POLR1E",0.134819784984959,"POLR1E"
"TAGLN3",0.75915960110706,"TAGLN3"
"CLIP2",0.364639315487835,"CLIP2"
"TPRN",0.417581974584313,"TPRN"
"GALNT2",0.731682252749644,"GALNT2"
"HDGFL2",0.591750251881316,"HDGFL2"
"NECAP2",0.545981053064486,"NECAP2"
"CAD",0.575165701058225,"CAD"
"TIA1",0.552742088765073,"TIA1"
"YWHAE",0.343647994331604,"YWHAE"
"LRSAM1",0.282465834505629,"LRSAM1"
"GOLGA4",0.446826717885348,"GOLGA4"
"LMAN1",0.729639675622762,"LMAN1"
"MYDGF",0.680498621334999,"MYDGF"
"CPT1A",0.719507489716657,"CPT1A"
"DFFA",0.436472884235854,"DFFA"
"SRRM2",0.24546472008397,"SRRM2"
"SDHA",0.39492288807331,"SDHA"
"LGALS3BP",0.592767069572565,"LGALS3BP"
"VPS51",0.0907296792003294,"VPS51"
"AARS2",0.466651862760923,"AARS2"
"NUP133",0.14815166866409,"NUP133"
"MAPT",0.630977376772301,"MAPT"
"AKAP1",0.56900747894086,"AKAP1"
"ALDH2",0.77750944886838,"ALDH2"
"COMMD3",0.376922842811909,"COMMD3"
"DDX42",0.477391502175673,"DDX42"
"IK",0.0386392852384605,"IK"
"CCDC124",0.488394054766578,"CCDC124"
"MRTO4",0.306724182298383,"MRTO4"
"SRM",0.538729315049768,"SRM"
"ITGA3",0.843077146080464,"ITGA3"
"SMARCD2",0.453192307048304,"SMARCD2"
"C2orf72",0.67190872648782,"C2orf72"
"KLRG2",0.55513953284927,"KLRG2"
"CNOT3",0.260160289969513,"CNOT3"
"CRYBG1",0.556319463851487,"CRYBG1"
"BAG6",0.279702403475953,"BAG6"
"FARSB",0.497239374138637,"FARSB"
"RIDA",0.651292111816423,"RIDA"
"DERA",0.259600088908824,"DERA"
"KTN1",0.671665412463454,"KTN1"
"TACSTD2",0.789173395524851,"TACSTD2"
"EPS8L1",0.525762853663141,"EPS8L1"
"DNAJC2",0.316028767960505,"DNAJC2"
"DHX16",0.313770396651498,"DHX16"
"DDX20",0.335814484486497,"DDX20"
"GART",0.486854499907481,"GART"
"HSPA14",0.519508290082545,"HSPA14"
"MUC5B",0.315340909090909,"MUC5B"
"RRP1",0.21352263970275,"RRP1"
"GOLPH3",0.562417034147146,"GOLPH3"
"SRCIN1",0.607192414431082,"SRCIN1"
"DDX1",0.232119049037221,"DDX1"
"GNPDA1",0.401354713555303,"GNPDA1"
"KIAA2013",0.375671277031137,"KIAA2013"
"LRRC47",0.505688000271361,"LRRC47"
"LAP3",0.639497740274694,"LAP3"
"CDC5L",0.355974492964872,"CDC5L"
"ADSL",0.540245380404762,"ADSL"
"TMA7",0.153296703296703,"TMA7"
"SF3B1",0.189006150653902,"SF3B1"
"COL15A1",0.698658410732714,"COL15A1"
"ERC1",0.510641105717998,"ERC1"
"TARS2",0.518073113575415,"TARS2"
"TOMM34",0.49871458215707,"TOMM34"
"ZNF512B",0.408066876448595,"ZNF512B"
"MACROD1",0.592534631164776,"MACROD1"
"PSMB1",0.129736444128734,"PSMB1"
"RPA1",0.387355842801408,"RPA1"
"HMGN5",0.639439333319954,"HMGN5"
"FLNB",0.832769753401413,"FLNB"
"ASPSCR1",0.466951866257044,"ASPSCR1"
"MRPL2",0.0146868682110413,"MRPL2"
"JAGN1",0.252015989403882,"JAGN1"
"PTPRF",0.25892977284532,"PTPRF"
"KPNB1",0.551046153101616,"KPNB1"
"RPLP1",0.224278569967593,"RPLP1"
"PPP1R9B",0.307391071820064,"PPP1R9B"
"HSPG2",0.356519149058506,"HSPG2"
"RUVBL2",0.239190156528612,"RUVBL2"
"PCBD2",0.418052862231866,"PCBD2"
"DUT",0.656455055480516,"DUT"
"PRRC2B",0.246575907502074,"PRRC2B"
"IPO4",0.404461130819289,"IPO4"
"NCAM1",0.776763097355862,"NCAM1"
"IRGQ",0.408982261188412,"IRGQ"
"STXBP2",0.419101302531334,"STXBP2"
"MYO1B",0.754692035813984,"MYO1B"
"PA2G4",0.552727955940591,"PA2G4"
"PCNT",0.140708104837709,"PCNT"
"CCT2",0.335004714488251,"CCT2"
"RAF1",0.208330836080312,"RAF1"
"GNAS",0.419997226025368,"GNAS"
"STXBP1",0.748041996791156,"STXBP1"
"SMU1",0.260564721653575,"SMU1"
"RBM14",0.129146536697993,"RBM14"
"TAF15",0.607462907558632,"TAF15"
"FUS",0.43222733306497,"FUS"
"SRP68",0.273341200701543,"SRP68"
"ATP11C",0.455783998403428,"ATP11C"
"AFAP1",0.646902636189753,"AFAP1"
"TOP2A",0.482063967665383,"TOP2A"
"TDRKH",0.502963771258231,"TDRKH"
"EIF4G3",0.428405045055282,"EIF4G3"
"EEA1",0.618264209173196,"EEA1"
"RRBP1",0.838704616584725,"RRBP1"
"PRMT5",0.240185604559293,"PRMT5"
"TFAP4",0.185326610927597,"TFAP4"
"CYP27A1",0.78205553067622,"CYP27A1"
"MIEF1",0.498645987821483,"MIEF1"
"APOB",0.000100965718399132,"APOB"
"EXOC3",0.129947572469231,"EXOC3"
"PARD3",0.560991406159411,"PARD3"
"PAICS",0.58898246221471,"PAICS"
"RAB24",0.253544321848505,"RAB24"
"NUTF2",0.25079238832213,"NUTF2"
"MATN2",0.467364022450122,"MATN2"
"HSDL2",0.740994520732974,"HSDL2"
"MTREX",0.371958555679798,"MTREX"
"ITPR1",0.262001950655637,"ITPR1"
"PSME1",0.538835832145997,"PSME1"
"FKBP4",0.543025291878452,"FKBP4"
"RPL11",0.291586571951015,"RPL11"
"CCDC85C",0.351943076081007,"CCDC85C"
"SPECC1L",0.281547392234885,"SPECC1L"
"CARS2",0.484375221093743,"CARS2"
"EML4",0.62113279212593,"EML4"
"EML3",0.291268869849041,"EML3"
"INTS14",0.149921745867318,"INTS14"
"DPYSL3",0.763395197919516,"DPYSL3"
"DPYSL2",0.763370181554603,"DPYSL2"
"CDK2",0.537892397725755,"CDK2"
"AHNAK2",0.378281425064133,"AHNAK2"
"CLEC11A",0.394050931633264,"CLEC11A"
"NAPA",0.70294828709167,"NAPA"
"NAPB",0.62140565222757,"NAPB"
"ARHGAP17",0.638807013614673,"ARHGAP17"
"HPGD",0.474253315784145,"HPGD"
"QDPR",0.576163351547069,"QDPR"
"PDCD4",0.548570186917036,"PDCD4"
"CMAS",0.633956307150619,"CMAS"
"ZNF598",0.335726993839943,"ZNF598"
"SHMT2",0.437495736402097,"SHMT2"
"SYNM",0.62159939658091,"SYNM"
"TBL3",0.163309448067174,"TBL3"
"CELF2",0.793574357104178,"CELF2"
"CELF1",0.398996545614862,"CELF1"
"MRPL12",0.393397486856712,"MRPL12"
"KRT19",0.883470785148122,"KRT19"
"SIPA1",-0.0492935374376971,"SIPA1"
"SMARCC1",0.542245245385545,"SMARCC1"
"TUBGCP3",0.223850712086006,"TUBGCP3"
"XRN2",0.572812641026522,"XRN2"
